,time,username,fullname,tweet,retweets
27,13h,@MZVICtori,Quartz Africa,"A phone call on October 1st last year from German Chancellor Merkel to Spanish PM Rajoy apparently avoided a bloodbath in Catalonia. Spanish police violence had no limits 
Google translate can help you read it https://www.heise.de/tp/features/Es-wird-immer-enger-fuer-den-spanischen-Richter-Llarena-4079944.html … …",37
28,15h,@qzafrica,THE BLACK SALTIRE#FBSI,"#Amazon, #Microsoft and even #Uber have joined #Google and other tech titans in actively opposing the #CaliforniaConsumerPrivacyAct. #Liberdy
https://www.engadget.com/2018/06/16/amazon-microsoft-uber-against-california-privacy-act/ …",271
29,18h,@80_mcswan,Liberdy,"#AGoodRead #Google’s Translate app now works offline for 59 languages
#translation #NLP #VoIP #Voiceover #linguistics #machinelearning #edgeanalytics #offline #gargano #beyonce #NXT #football
https://thenextweb.com/artificial-intelligence/2018/06/13/googles-translate-app-now-works-offline-for-59-languages/ …",
30,20h,@Liberdy_,Shashi Kumar,"https://bit.ly/2tdxkrW  What does Chapman,Grey&Tessler, Inc. have to do w/Fathers'Day HHS videos? (SoulPancake LLCs formed 2008,2010,2011 &2012 |#RainnWilson |#JeffSkoll #ParticipantMedia & #Google? See str addresses! BevrlyHills one is CityOwned. City wants entertainmt district. ",233
31,21h,@shashinetwork,Let's Get Honest: Now!,"It's sobering to consider that despite all the resources at their disposal, Google is unable to keep Nazis off of its corporate intranet ",
32,22h,@LetUsGetHonest,Pinboard,"Wikipedia makes a very good point here: if companies like Google & Facebook are going to rely on Wikipedia to help combat the fake news & misinformation that appears on their sites, they should help support Wikipedia financially.",
33,Jun 16,@Pinboard,Mark Pitcavage,"Google, Pre-Evil Period https://qz.com/1282892/google-is-losing-dont-be-evil-in-its-code-of-conduct-and-whats-left-is-corporate-jargon/ …",
34,Jun 16,@egavactip,Rudolf E. Havenstein,"How startups are building #driverless cars without Google’s billions
Find out: https://bit.ly/2yiogrr  via @arstechnica
#Ai #Autonomouscar #Cloud #cybersecurity #IoT #BigData #Innovation #technology #MachineLearning",
35,Jun 16,@RudyHavenstein,Heritage Auto Glass,"Artificial intelligence: Google's question of principles?
http://on.forbes.com/6016DcCUQ ",3
36,Jun 16,@auto_heritage,Forbes,"Why @Facebook and @Google must do more to support @Wikipedia
If big tech companies are going to use Wikipedia as a resource, they should better support its important work, says @krmaher the executive director of the @Wikimedia Foundation http://www.wired.co.uk/article/wikipedia-google-youtube-facebook-support …",7
